[2026-05-13T02:58:49.917Z] GET http://localhost:5173/src/components/common/FilterBar.vue → 200 (?ms, 17097B)
[2026-05-13T02:58:49.917Z] GET http://localhost:5173/src/views/Companies/List.vue?vue&type=style&index=0&scoped=175cefe3&lang.scss → 200 (?ms, 3838B)
[2026-05-13T02:58:49.917Z] GET http://localhost:5173/src/components/common/SubPageHeader.vue?vue&type=style&index=0&scoped=bfb1bbce&lang.scss → 200 (?ms, 1442B)
[2026-05-13T02:58:49.917Z] GET http://localhost:5173/src/components/common/FilterBar.vue?vue&type=style&index=0&scoped=293392e6&lang.scss → 200 (?ms, 3278B)
[2026-05-13T02:58:49.918Z] GET http://localhost:5173/api/company-list?page=1&page_size=50 → 200 (35ms, 13084B)
[2026-05-13T02:58:52.078Z] GET http://localhost:5173/quality → 200 (2ms, 402B)
[2026-05-13T02:58:52.082Z] GET http://localhost:5173/@vite/client → 304 (1ms, ?B)
[2026-05-13T02:58:52.082Z] GET http://localhost:5173/src/main.ts → 304 (1ms, ?B)
[2026-05-13T02:58:52.083Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 304 (4ms, ?B)
[2026-05-13T02:58:52.084Z] GET http://localhost:5173/node_modules/.vite/deps/vue.js?v=1ead3934 → 200 (?ms, 5709B)
[2026-05-13T02:58:52.084Z] GET http://localhost:5173/node_modules/.vite/deps/pinia.js?v=5240ed46 → 200 (?ms, 47700B)
[2026-05-13T02:58:52.084Z] GET http://localhost:5173/node_modules/.vite/deps/echarts.js?v=c18a41f0 → 200 (1ms, 2587955B)
[2026-05-13T02:58:52.085Z] GET http://localhost:5173/src/App.vue → 304 (2ms, ?B)
[2026-05-13T02:58:52.085Z] GET http://localhost:5173/src/router/index.ts → 304 (2ms, ?B)
[2026-05-13T02:58:52.085Z] GET http://localhost:5173/src/styles/echarts-theme.ts → 304 (3ms, ?B)
[2026-05-13T02:58:52.085Z] GET http://localhost:5173/src/styles/global.scss → 304 (3ms, ?B)
[2026-05-13T02:58:52.086Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-EXJIBF44.js?v=07ed0d97 → 200 (?ms, 386190B)
[2026-05-13T02:58:52.087Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PZ5AY32C.js?v=07ed0d97 → 200 (?ms, 234B)
[2026-05-13T02:58:52.087Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-YFT6OQ5R.js?v=07ed0d97 → 200 (?ms, 4624B)
[2026-05-13T02:58:52.087Z] GET http://localhost:5173/src/stores/filter.ts → 304 (3ms, ?B)
[2026-05-13T02:58:52.087Z] GET http://localhost:5173/src/App.vue?vue&type=style&index=0&scoped=7a7a37b1&lang.scss → 304 (3ms, ?B)
[2026-05-13T02:58:52.087Z] GET http://localhost:5173/@id/__x00__plugin-vue:export-helper → 304 (3ms, ?B)
[2026-05-13T02:58:52.088Z] GET http://localhost:5173/node_modules/.vite/deps/vue-router.js?v=f6704470 → 200 (?ms, 89837B)
[2026-05-13T02:58:52.090Z] GET http://localhost:5173/src/api/endpoints.ts → 304 (1ms, ?B)
[2026-05-13T02:58:52.091Z] GET http://localhost:5173/src/api/client.ts → 304 (?ms, ?B)
